szKey	szValue
STR_RETRIEVAL_STRENGTHEN	增強
STR_RETRIEVAL_AID	輔助
STR_RETRIEVAL_CRITICALPOWER	會效
STR_RETRIEVAL_CRITICALDAMAGEPOWERBASE	會心效果
STR_RETRIEVAL_CRITICALSTRIKE	會心
STR_RETRIEVAL_CRITICALSTRIKELEVEL	會心等級
STR_RETRIEVAL_THERAPY	治療
STR_RETRIEVAL_CURE	療
STR_RETRIEVAL_MATERIAL	材料
STR_RETRIEVAL_HAT	帽子
STR_RETRIEVAL_JACKET	上衣
STR_RETRIEVAL_WRIST	護腕
STR_RETRIEVAL_BELT	腰帶
STR_RETRIEVAL_PANTS	下裝
STR_RETRIEVAL_SHOE	鞋子
STR_RETRIEVAL_WEAPON	武器
STR_RETRIEVAL_MAKE	製造 (%s)
STR_RETRIEVAL_MAKETIPS	按住SHIFT並點擊可以批量製造
STR_RETRIEVAL_POSITION	部位
STR_RETRIEVAL_MAGIC	內功
STR_RETRIEVAL_PHYSICS	外功
STR_RETRIEVAL_LUNAR	陰性
STR_RETRIEVAL_NEUTRAL	混元
STR_RETRIEVAL_POISON	毒性
STR_RETRIEVAL_SOLARANDLUNAR	陰陽
STR_RETRIEVAL_SOLAR	陽性
STR_RETRIEVAL_ONE	壹
STR_RETRIEVAL_TWO	貳
STR_RETRIEVAL_THREE	三
STR_RETRIEVAL_FOUR	肆
STR_RETRIEVAL_FIVE	伍
STR_RETRIEVAL_SIX	陸
STR_RETRIEVAL_BOXTIPS	左鍵點擊搜索交易行，按住CTRL發送至聊天框
STR_RETRIEVAL_NORMAL	普通
STR_RETRIEVAL_SIMPLIFY	精簡
STR_RETRIEVAL_DIAMONDLEVEL	等級選擇
STR_RETRIEVAL_ATTRIBUTEONE	第一屬性
STR_RETRIEVAL_ATTRIBUTETWO	第二屬性
STR_RETRIEVAL_ATTRIBUTETHREE	第三屬性
STR_RETRIEVAL_RECIPEFROM	配方來源：
STR_RETRIEVAL_EQUIPREFINING	裝備煉化
STR_RETRIEVAL_EQUIPOFFERING	裝備祭化
STR_RETRIEVAL_BLOOD	氣血
STR_RETRIEVAL_ALLCRITICALSTRIKE	全會心
STR_RETRIEVAL_ALLCRITICALPOWER	全會效
STR_RETRIEVAL_ALLHIT	全命中
STR_RETRIEVAL_CANN	螢石
STR_RETRIEVAL_FIVEELE	五行
STR_RETRIEVAL_AURABEAD	靈韻珠
STR_RETRIEVAL_MAKETIP	<右鍵配方快速製造>\n
STR_SPLITER_BEGINSTACK	開始堆疊物品
STR_SPLITER_ENDSTACK	堆疊物品結束
STR_SPLITER_NOITEM	找不到物品
STR_SPLITER_GROUPANDNUMBER	請輸入正確的組數或個數
STR_SPLITER_NOBAGPOS	背包空間不足
STR_SPLITER_BEGINSPLIT	開始拆分物品
STR_SPLITER_ENDSPLIT	拆分物品結束
STR_SPLITER_SPLITTIPS	請把拆開的物品放進背包後再拆分
STR_SPLITER_PUTITEMS	將需要拆分的物品放入其中
STR_SPLITER_GROUP	拆分組數
STR_SPLITER_NUMBER	每組個數
STR_SPLITER_SPLIT	拆分
STR_SPLITER_CLOSE	關閉
STR_MAILBANK_ITEMNAME	物品名稱
STR_MAILBANK_MAILTITLE	信件標題
STR_MAILBANK_SENDER	寄信人
STR_MAILBANK_ENDDATE	到期時間
STR_MAILBANK_MONEY	金錢
STR_MAILBANK_WILLEND	將過期
STR_MAILBANK_LESSTHAN	少於(天)：
STR_MAILBANK_WITHIN	包含字元：
STR_MAILBANK_MAILTIP1	郵件倉庫
STR_MAILBANK_MAILTIP2	按一下這裡可以打開離線郵件倉庫
STR_MAILBANK_COURIER	信使
STR_MAILBANK_TIP1	請選中信使再收件！
STR_MAILBANK_TIP2	背包空間不足！
STR_MAILBANK_DELETE	刪除
STR_MAILBANK_LEFTTIME	剩餘時間：%s
STR_MAILBANK_NUMBER	數量：%d
STR_MAILBANK_TIP3	ALT鍵顯示物品資訊，左鍵點擊全部拾取，右鍵點擊分件拾取
STR_MAILBANK_NORETURN	僅顯示不可退回信件
STR_MAILBANK_PREV	上一頁
STR_MAILBANK_NEXT	下一頁
STR_MAILBANK_LOOTPAGE	收取本頁
STR_MAILBANK_REQUEST	收信（資料準備中，請稍等片刻）
STR_MAILBANK_AUTOEXANGE	自動載入上一次寄件方案
STR_MAILBANK_LOOTALL	拾取當前郵件所有附件
STR_HELPER_12HOUR	12小時
STR_HELPER_24HOUR	24小時
STR_HELPER_48HOUR	48小時
STR_HELPER_ITEMNAME	物品名稱
STR_HELPER_ANYLEVEL	任何品質
STR_HELPER_ALLSTATE	所有狀態
STR_HELPER_NOBODY	無人出價
STR_HELPER_NEAR_DUE	即將到期
STR_HELPER_SECOND	%s秒
STR_HELPER_SETTLEMENT	結算中
STR_HELPER_UNITPRICE	單價
STR_HELPER_MYPRICE	我的出價
STR_HELPER_BOOK	書
STR_HELPER_LOWPRICE	當前寄售價格為【最低價格】
STR_HELPER_CDIAMONDPRICE	當前寄售價格為【同類五彩石最低價格】
STR_HELPER_SYSTEMPRICE	當前寄售價格為【系統保存價格】
STR_HELPER_NOITEMPRICE	沒有找到該種物品價格
STR_HELPER_TIP1	批量寄售：按住SHIFT鍵寄售同種，按住ALT寄售五彩石秘笈及書籍
STR_HELPER_TIP2	左鍵點擊顯示歷史記錄，右鍵點擊顯示收藏的寶貝
STR_HELPER_MESSAGE1	點擊確定批量寄售，點擊取消單個寄售
STR_HELPER_MESSAGE2	        是否需要開始批量寄售
STR_HELPER_ALERT1	**此頁部分物品已被【交易行助手】過濾，請點擊下一頁繼續**
STR_HELPER_ALERT2	**此頁部分物品已被【交易行助手】全部過濾**
STR_HELPER_ALERT3	當前價格無法設為臨時寄售基準價
STR_HELPER_SETSELLPRICE	設此價格為基準
STR_HELPER_SEARCHALL	搜索全部此寶貝
STR_HELPER_SEARCHSELLER	搜索 [%s]
STR_HELPER_CONTACTSELLER	密聊 [%s]
STR_HELPER_ADDSELLER	收藏 [%s]
STR_HELPER_SHIELDEDSELLER	遮罩 [%s]
STR_HELPER_ADDTOFAVORITES	收藏該寶貝
STR_HELPER_USELOWEST	使用最低價
STR_HELPER_USESYSTEM	使用系統保存價格
STR_HELPER_FAVORITES	收藏的寶貝
STR_HELPER_SELLERS	收藏的店鋪
STR_HELPER_BLACKLIST	黑名單
STR_HELPER_SEARCH	◇搜索◇
STR_HELPER_DELETE	◇刪除◇
STR_HELPER_FAVORITEITEMS	寶貝
STR_HELPER_DELETEITEMS	刪除寶貝：%s
STR_HELPER_DELETESELLERS	刪除店鋪：%s
STR_HELPER_VERSION	版本：v%s
STR_HELPER_FILTERRECIPE	過濾已讀秘笈
STR_HELPER_FILTERBOOK	過濾已讀書籍
STR_HELPER_MAXHISTORY	最大歷史記錄
STR_HELPER_FAVORITEITEMS	收藏寶貝
STR_HELPER_SELLTIME	寄售保管時間
STR_HELPER_AUTOMATICSPREAD	啟用自動差價
STR_HELPER_DISCOUNT	折扣價
STR_HELPER_MODIFY	修改 [%s]
STR_HELPER_INPUTDISCOUNT	輸入折扣：
STR_HELPER_COPPER	1銅
STR_HELPER_SLIVER	1銀
STR_HELPER_GOLD	1金
STR_HELPER_NOALLPROMPT	遮罩確認提示
STR_HELPER_NOSELLNOTICE	遮罩批量寄售確認提示
STR_HELPER_DBCTRLSELL	按住CTRL鍵，滑鼠右鍵按兩下物品改成批量寄售
STR_HELPER_FASTSELL	啟用快速寄售
STR_HELPER_FASTBID	啟用快速競拍
STR_HELPER_FASTBUY	啟用快速購買
STR_HELPER_FASTCANCEL	啟用快速取消
STR_HELPER_DBCLICKTYPE	啟用滑鼠按兩下方式
STR_HELPER_AUTOSEARCH	啟用自動搜索
STR_HELPER_FORMATMONEY	大金額千分位
STR_HELPER_SHOWTIPEX	材料配方提示
STR_HELPER_RESETPRICE	重置價格資料
STR_HELPER_MAXHISTORYTIPS	記錄物品搜索歷史，點擊搜索框下拉按鈕中的記錄可以快速搜索
STR_HELPER_SELLTIMETIPS	寄售物品時默認的保管時間
STR_HELPER_FILTERRECIPETIPS	勾選此項後，將過濾掉已閱讀的秘笈
STR_HELPER_FILTERBOOKTIPS	勾選此項後，將過濾掉已閱讀的書籍
STR_HELPER_AUTOMATICSPREADTIPS	勾選此項後，寄售物品時將自動乘以差價係數或減去差價
STR_HELPER_NOALLPROMPTTIPS	勾選此項後，所以操作都將無確認提示（配合快速競拍、購買、取消，謹慎勾選）
STR_HELPER_FASTBIDTIPS	按住SHIFT+CTRL，滑鼠左鍵點擊物品欄可以快速出價
STR_HELPER_FASTBUYTIPS	按住ALT+CTRL，滑鼠左鍵點擊物品欄可以快速購買
STR_HELPER_FASTCANCELTIPS	按住ALT+CTRL，滑鼠左鍵點擊物品欄可以快速取消
STR_HELPER_AUTOSEARCHTIPS	按住CTRL，滑鼠左鍵點擊背包中的物品欄可以快速搜索該物品
STR_HELPER_FORMATMONEYTIPS	物品價格大於三位元數時顯示千分位元
STR_HELPER_SHOWTIPEXTIPS	按住ALT或SHIFT亦可以顯示提示
STR_HELPER_RESETPRICETIPS	數據重置完畢
STR_HELPER_ADDITIONALDROP	可額外掉落
STR_HELPER_VIEWDROP	查看掉落
STR_HELPER_LOWEST	最低
STR_HELPER_SYSTEM	系統
STR_HELPER_SELLERROR	寄賣失敗！您要寄賣的物品信息有誤。
STR_HELPER_BAGINSORT	寄賣失敗！背包整理中。
STR_HELPER_MESSAGETITLE	<交易行助手>%s
STR_HELPER_SEARCHITEM	搜索%s：%s
STR_HELPER_BEADDTOFAVORITES	%s 已加入寶貝
STR_HELPER_BEADDTOSELLER	%s 已加入店鋪
STR_HELPER_BEADDTOBLACKLIST	%s 已加入黑名單
STR_HELPER_PRICE1	總價：
STR_HELPER_PRICE2	單價：
STR_HELPER_PRICE3	最低價：
STR_HELPER_PRICE4	基準價：
STR_HELPER_CLEARHISTORY	清空歷史記錄
STR_HELPER_HELPER	交易行助手
STR_HELPER_SLPITITEM	拆分物品
STR_HELPER_STACKITEM	堆疊物品
STR_HELPER_TEXTPRICE	定價
STR_HELPER_TEXTFAVORITE	收藏
STR_HELPER_TEXTSPLIT	拆堆
STR_HELPER_TEXTRETRIEVAL	查詢
STR_HELPER_TEXTOPTION	選項
STR_HELPER_GUARD	啟用交易衛士
STR_HELPER_GUARDTIP	"<text>text=\""交易行衛士紅色警報：\n您對[<D0>]的出價超出最低一口價 <D1> 倍以上！！！\n您確定要買？？？\"" font=159 </text>"
STR_HELPER_EXCEPTION	◆交易行介面或滑鼠提示介面異常時，請點擊嘗試重置價格資料！\n
STR_HELPER_SETTING	詳細設置
STR_HELPER_OBTAINED	你獲得
STR_HELPER_EXVERSIONPRICE	顯示舊版價格
STR_SETTING_TITLE	《交易行助手》設置
STR_SETTING_FEEDBACK	問題回饋
STR_SETTING_AH	交易行
STR_SETTING_COMMON	※ 常用設置
STR_SETTING_SHORTCUT	※ 快捷功能
STR_SETTING_AUTOSEARCH	啟用自動搜索
STR_SETTING_QUALITYLEVEL	顯示品質等級
STR_SETTING_GUARD	啟用交易衛士
STR_SETTING_OVER	高於
STR_SETTING_INTERCEPT	倍攔截
STR_SETTING_REALTIME	即時競拍倒計時
STR_SETTING_TIMECOLOR	倒計時顏色
STR_SETTING_BINDERNAME	顯示競拍者名字
STR_SETTING_BINDERNAMECOLOR	競拍者顏色
STR_SETTING_HISTORY	歷史記錄條數
STR_SETTING_COUNT	條
STR_SETTING_SAVETIME	寄售保管時間
STR_SETTING_HOUR	小時
STR_SETTING_FILTERRECIPE	過濾已讀秘笈
STR_SETTING_FILTERBOOK	過濾已讀書籍
STR_SETTING_AUTODISCOUNT	啟用自動差價
STR_SETTING_FASTSELL	啟用快速寄售
STR_SETTING_FASRSELLTIP	（按住CTRL鍵，滑鼠右鍵按兩下物品改成批量寄售捷）
STR_SETTING_FASTBID	啟用快速競拍
STR_SETTING_FASTBIDTIP	（按住SHIFT+CTRL，滑鼠左鍵點擊物品欄可以快速出價）
STR_SETTING_FASTBUY	啟用快速購買
STR_SETTING_FASTBUYTIP	（按住ALT+CTRL，滑鼠左鍵點擊物品欄可以快速購買）
STR_SETTING_DBCLICKTYPE	啟用滑鼠按兩下方式
STR_SETTING_FASTCANCEL	啟用快速取消
STR_SETTING_FASRCANCELTIP	（按住ALT+CTRL，滑鼠左鍵點擊物品欄可以快速取消）
STR_SETTING_OTHER	其他
STR_SETTING_MAIL	※ 郵箱助手
STR_SETTING_AUTOEXANGE	自動載入上一次寄件方案
STR_SETTING_SPLIT	※ 拆分助手
STR_SETTING_SAVEHISTORY	自動保存/載入拆分方案
STR_SETTING_SAVEHISTORYTIP	（打開方式，按住ALT鍵點擊物品）
STR_SETTING_ITEMTIP	※ 滑鼠提示
STR_SETTING_SHOWTIPEX	滑鼠提示顯示技藝配方
STR_SETTING_SHOWTIPEXTIP	（不開啟時按住ALT或SHIFT鍵亦可顯示配方）
STR_SETTING_SHOWLEARNED	顯示已學技藝配方
STR_SETTING_SHOWUNLEARNED	顯示未學技藝配方
STR_SETTING_SHOWCACHEPRICE	顯示緩存的物品價格
