szKey	szValue
STR_RETRIEVAL_WRIST	护腕
STR_RETRIEVAL_BELT	腰带
STR_RETRIEVAL_PANTS	下装
STR_RETRIEVAL_SHOE	鞋子
STR_RETRIEVAL_WEAPON	武器
STR_RETRIEVAL_MAKE	制造 (%s)
STR_RETRIEVAL_MAKETIPS	按住SHIFT并点击可以批量制造
STR_RETRIEVAL_POSITION	部位
STR_RETRIEVAL_MAGIC	内功
STR_RETRIEVAL_PHYSICS	外功
STR_RETRIEVAL_LUNAR	阴性
STR_RETRIEVAL_NEUTRAL	混元
STR_RETRIEVAL_POISON	毒性
STR_RETRIEVAL_SOLARANDLUNAR	阴阳
STR_RETRIEVAL_SOLAR	阳性
STR_RETRIEVAL_ONE	壹
STR_RETRIEVAL_TWO	贰
STR_RETRIEVAL_THREE	叁
STR_RETRIEVAL_FOUR	肆
STR_RETRIEVAL_FIVE	伍
STR_RETRIEVAL_SIX	陆
STR_RETRIEVAL_BOXTIPS	左键点击搜索交易行，按住CTRL发送至聊天框
STR_RETRIEVAL_NORMAL	普通
STR_RETRIEVAL_SIMPLIFY	精简
STR_RETRIEVAL_DIAMONDLEVEL	等级选择
STR_RETRIEVAL_ATTRIBUTEONE	第一属性
STR_RETRIEVAL_ATTRIBUTETWO	第二属性
STR_RETRIEVAL_ATTRIBUTETHREE	第三属性
STR_RETRIEVAL_RECIPEFROM	配方来源：
STR_RETRIEVAL_EQUIPREFINING	装备炼化
STR_RETRIEVAL_EQUIPOFFERING	装备祭化
STR_RETRIEVAL_BLOOD	气血
STR_RETRIEVAL_ALLCRITICALSTRIKE	全会心
STR_RETRIEVAL_ALLCRITICALPOWER	全会效
STR_RETRIEVAL_ALLHIT	全命中
STR_RETRIEVAL_CANN	萤石
STR_RETRIEVAL_FIVEELE	五行
STR_RETRIEVAL_AURABEAD	灵韵珠
STR_RETRIEVAL_MAKETIP	<右键配方快速制造>\n
STR_SPLITER_BEGINSTACK	开始堆叠物品
STR_SPLITER_ENDSTACK	堆叠物品结束
STR_SPLITER_NOITEM	找不到物品
STR_SPLITER_GROUPANDNUMBER	请输入正确的组数或个数
STR_SPLITER_NOBAGPOS	背包空间不足
STR_SPLITER_BEGINSPLIT	开始拆分物品
STR_SPLITER_ENDSPLIT	拆分物品结束
STR_SPLITER_SPLITTIPS	请把拆开的物品放进背包后再拆分
STR_SPLITER_PUTITEMS	将需要拆分的物品放入其中
STR_SPLITER_GROUP	拆分组数
STR_SPLITER_NUMBER	每组个数
STR_SPLITER_SPLIT	拆分
STR_SPLITER_CLOSE	关闭
STR_MAILBANK_ITEMNAME	物品名称
STR_MAILBANK_MAILTITLE	信件标题
STR_MAILBANK_SENDER	寄信人
STR_MAILBANK_ENDDATE	到期时间
STR_MAILBANK_MONEY	金钱
STR_MAILBANK_WILLEND	将过期
STR_MAILBANK_LESSTHAN	少于(天)：
STR_MAILBANK_WITHIN	包含字符：
STR_MAILBANK_MAILTIP1	邮件仓库
STR_MAILBANK_MAILTIP2	单击这里可以打开离线邮件仓库
STR_MAILBANK_COURIER	信使
STR_MAILBANK_TIP1	请选中信使再收件！
STR_MAILBANK_TIP2	背包空间不足！
STR_MAILBANK_DELETE	删除
STR_MAILBANK_LEFTTIME	剩余时间：%s
STR_MAILBANK_NUMBER	数量：%d
STR_MAILBANK_TIP3	ALT键显示物品信息，左键点击全部拾取，右键点击分件拾取
STR_MAILBANK_NORETURN	仅显示不可退回信件
STR_MAILBANK_PREV	上一页
STR_MAILBANK_NEXT	下一页
STR_MAILBANK_LOOTPAGE	收取本页
STR_MAILBANK_REQUEST	收信（数据准备中，请稍等片刻）
STR_MAILBANK_AUTOEXANGE	自动载入上一次寄件方案
STR_MAILBANK_LOOTALL	拾取当前邮件所有附件
STR_HELPER_12HOUR	12小时
STR_HELPER_24HOUR	24小时
STR_HELPER_48HOUR	48小时
STR_HELPER_ITEMNAME	物品名称
STR_HELPER_ANYLEVEL	任何品质
STR_HELPER_ALLSTATE	所有状态
STR_HELPER_NOBODY	无人出价
STR_HELPER_NEAR_DUE	即将到期
STR_HELPER_SECOND	%s秒
STR_HELPER_SETTLEMENT	结算中
STR_HELPER_UNITPRICE	单价
STR_HELPER_MYPRICE	我的出价
STR_HELPER_BOOK	书
STR_HELPER_LOWPRICE	当前寄售价格为【最低价格】
STR_HELPER_CDIAMONDPRICE	当前寄售价格为【同类五彩石最低价格】
STR_HELPER_SYSTEMPRICE	当前寄售价格为【系统保存价格】
STR_HELPER_NOITEMPRICE	没有找到该种物品价格
STR_HELPER_TIP1	批量寄售：按住SHIFT键寄售同种，按住ALT寄售五彩石秘籍及书籍
STR_HELPER_TIP2	左键点击显示历史记录，右键点击显示收藏的宝贝
STR_HELPER_MESSAGE1	点击确定批量寄售，点击取消单个寄售
STR_HELPER_MESSAGE2	        是否需要开始批量寄售
STR_HELPER_ALERT1	**此页部分物品已被【交易行助手】过滤，请点击下一页继续**
STR_HELPER_ALERT2	**此页部分物品已被【交易行助手】全部过滤**
STR_HELPER_ALERT3	当前价格无法设为临时寄售基准价
STR_HELPER_SETSELLPRICE	设此价格为基准
STR_HELPER_SEARCHALL	搜索全部此宝贝
STR_HELPER_SEARCHSELLER	搜索 [%s]
STR_HELPER_CONTACTSELLER	密聊 [%s]
STR_HELPER_ADDSELLER	收藏 [%s]
STR_HELPER_SHIELDEDSELLER	屏蔽 [%s]
STR_HELPER_ADDTOFAVORITES	收藏该宝贝
STR_HELPER_USELOWEST	使用最低价
STR_HELPER_USESYSTEM	使用系统保存价格
STR_HELPER_FAVORITES	收藏的宝贝
STR_HELPER_SELLERS	收藏的店铺
STR_HELPER_BLACKLIST	黑名单
STR_HELPER_SEARCH	◇搜索◇
STR_HELPER_DELETE	◇删除◇
STR_HELPER_FAVORITEITEMS	宝贝
STR_HELPER_DELETEITEMS	删除宝贝：%s
STR_HELPER_DELETESELLERS	删除店铺：%s
STR_HELPER_VERSION	版本：v%s
STR_HELPER_FILTERRECIPE	过滤已读秘籍
STR_HELPER_FILTERBOOK	过滤已读书籍
STR_HELPER_MAXHISTORY	最大历史记录
STR_HELPER_FAVORITEITEMS	收藏宝贝
STR_HELPER_SELLTIME	寄售保管时间
STR_HELPER_AUTOMATICSPREAD	启用自动差价
STR_HELPER_DISCOUNT	折扣价
STR_HELPER_MODIFY	修改 [%s]
STR_HELPER_INPUTDISCOUNT	输入折扣：
STR_HELPER_COPPER	1铜
STR_HELPER_SLIVER	1银
STR_HELPER_GOLD	1金
STR_HELPER_NOALLPROMPT	屏蔽确认提示
STR_HELPER_NOSELLNOTICE	屏蔽批量寄售确认提示
STR_HELPER_DBCTRLSELL	按住CTRL键，鼠标右键双击物品改成批量寄售
STR_HELPER_FASTSELL	启用快速寄售
STR_HELPER_FASTBID	启用快速竞拍
STR_HELPER_FASTBUY	启用快速购买
STR_HELPER_FASTCANCEL	启用快速取消
STR_HELPER_DBCLICKTYPE	启用鼠标双击方式
STR_HELPER_AUTOSEARCH	启用自动搜索
STR_HELPER_FORMATMONEY	大金额千分位
STR_HELPER_SHOWTIPEX	材料配方提示
STR_HELPER_RESETPRICE	重置价格数据
STR_HELPER_MAXHISTORYTIPS	记录物品搜索历史，点击搜索框下拉按钮中的记录可以快速搜索
STR_HELPER_SELLTIMETIPS	寄售物品时默认的保管时间
STR_HELPER_FILTERRECIPETIPS	勾选此项后，将过滤掉已阅读的秘籍
STR_HELPER_FILTERBOOKTIPS	勾选此项后，将过滤掉已阅读的书籍
STR_HELPER_AUTOMATICSPREADTIPS	勾选此项后，寄售物品时将自动乘以差价系数或减去差价
STR_HELPER_NOALLPROMPTTIPS	勾选此项后，所以操作都将无确认提示（配合快速竞拍、购买、取消，谨慎勾选）
STR_HELPER_FASTBIDTIPS	按住SHIFT+CTRL，鼠标左键点击物品栏可以快速出价
STR_HELPER_FASTBUYTIPS	按住ALT+CTRL，鼠标左键点击物品栏可以快速购买
STR_HELPER_FASTCANCELTIPS	按住ALT+CTRL，鼠标左键点击物品栏可以快速取消
STR_HELPER_AUTOSEARCHTIPS	按住CTRL，鼠标左键点击背包中的物品栏可以快速搜索该物品
STR_HELPER_FORMATMONEYTIPS	物品价格大于三位数时显示千分位
STR_HELPER_SHOWTIPEXTIPS	按住ALT或SHIFT亦可以显示提示
STR_HELPER_RESETPRICETIPS	数据重置完毕
STR_HELPER_ADDITIONALDROP	可额外掉落
STR_HELPER_VIEWDROP	查看掉落
STR_HELPER_LOWEST	最低
STR_HELPER_SYSTEM	系统
STR_HELPER_SELLERROR	寄卖失败！您要寄卖的物品信息有误。
STR_HELPER_BAGINSORT	寄卖失败！背包整理中。
STR_HELPER_MESSAGETITLE	<交易行助手>%s
STR_HELPER_SEARCHITEM	搜索%s：%s
STR_HELPER_BEADDTOFAVORITES	%s 已加入宝贝
STR_HELPER_BEADDTOSELLER	%s 已加入店铺
STR_HELPER_BEADDTOBLACKLIST	%s 已加入黑名单
STR_HELPER_PRICE1	总价：
STR_HELPER_PRICE2	单价：
STR_HELPER_PRICE3	最低价：
STR_HELPER_PRICE4	基准价：
STR_HELPER_CLEARHISTORY	清空历史记录
STR_HELPER_HELPER	交易行助手
STR_HELPER_SLPITITEM	拆分物品
STR_HELPER_STACKITEM	堆叠物品
STR_HELPER_TEXTPRICE	定价
STR_HELPER_TEXTFAVORITE	收藏
STR_HELPER_TEXTSPLIT	拆堆
STR_HELPER_TEXTRETRIEVAL	查询
STR_HELPER_TEXTOPTION	选项
STR_HELPER_GUARD	启用交易卫士
STR_HELPER_GUARDTIP	<text>text=\"交易行卫士红色警报：\n您对[<D0>]的出价超出最低一口价 <D1> 倍以上！！！\n您确定要买？？？\" font=159 </text>
STR_HELPER_EXCEPTION	◆交易行界面或鼠标提示界面异常时，请点击尝试重置价格数据！\n
STR_HELPER_SETTING	详细设置
STR_HELPER_OBTAINED	你获得
STR_HELPER_EXVERSIONPRICE	显示旧版价格
STR_SETTING_TITLE	《交易行助手》设置
STR_SETTING_FEEDBACK	问题反馈
STR_SETTING_AH	交易行
STR_SETTING_COMMON	※ 常用设置
STR_SETTING_SHORTCUT	※ 快捷功能
STR_SETTING_AUTOSEARCH	启用自动搜索
STR_SETTING_QUALITYLEVEL	显示品质等级
STR_SETTING_GUARD	启用交易卫士
STR_SETTING_OVER	高于
STR_SETTING_INTERCEPT	倍拦截
STR_SETTING_REALTIME	实时竞拍倒计时
STR_SETTING_TIMECOLOR	倒计时颜色
STR_SETTING_BINDERNAME	显示竞拍者名字
STR_SETTING_BINDERNAMECOLOR	竞拍者颜色
STR_SETTING_HISTORY	历史记录条数
STR_SETTING_COUNT	条
STR_SETTING_SAVETIME	寄售保管时间
STR_SETTING_HOUR	小时
STR_SETTING_FILTERRECIPE	过滤已读秘籍
STR_SETTING_FILTERBOOK	过滤已读书籍
STR_SETTING_AUTODISCOUNT	启用自动差价
STR_SETTING_FASTSELL	启用快速寄售
STR_SETTING_FASRSELLTIP	（按住CTRL键，鼠标右键双击物品改成批量寄售捷）
STR_SETTING_FASTBID	启用快速竞拍
STR_SETTING_FASTBIDTIP	（按住SHIFT+CTRL，鼠标左键点击物品栏可以快速出价）
STR_SETTING_FASTBUY	启用快速购买
STR_SETTING_FASTBUYTIP	（按住ALT+CTRL，鼠标左键点击物品栏可以快速购买）
STR_SETTING_DBCLICKTYPE	启用鼠标双击方式
STR_SETTING_FASTCANCEL	启用快速取消
STR_SETTING_FASRCANCELTIP	（按住ALT+CTRL，鼠标左键点击物品栏可以快速取消）
STR_SETTING_OTHER	其他
STR_SETTING_MAIL	※ 邮箱助手
STR_SETTING_AUTOEXANGE	自动载入上一次寄件方案
STR_SETTING_SPLIT	※ 拆分助手
STR_SETTING_SAVEHISTORY	自动保存/载入拆分方案
STR_SETTING_SAVEHISTORYTIP	（打开方式，按住ALT键点击物品）
STR_SETTING_ITEMTIP	※ 鼠标提示
STR_SETTING_SHOWTIPEX	鼠标提示显示技艺配方
STR_SETTING_SHOWTIPEXTIP	（不开启时按住ALT或SHIFT键亦可显示配方）
STR_SETTING_SHOWLEARNED	显示已学技艺配方
STR_SETTING_SHOWUNLEARNED	显示未学技艺配方
STR_SETTING_SHOWCACHEPRICE	显示缓存的物品价格
