szName	szDesc
回锅肉	力道提高10点，身法提高10点，持续15分钟
汇珍宴	气血值上限提高240点，御劲提高24点，化劲提高24点，全属性提高15点，持续1小时
馄饨	精力值恢复5点
佳·安荣力劲汤	力道提高73点，持续30分钟
佳·八珍强体汤	体质提高97点，持续30分钟
佳·白芷增骨汤	根骨提高73点，持续30分钟
佳·薄荷蒸排骨	每秒气血回复提高22点，持续30分钟
佳·葱爆肉丁	疗伤成效提高521点，持续30分钟
佳·佛手排骨	外功会心效果等级提高195点，持续30分钟
佳·锅包肉	每秒内力回复提高38点，持续30分钟
佳·合饼卷菜	内功会心效果等级提高195点，持续30分钟
佳·黑山剁	气血上限提高973点，持续30分钟
佳·红山剁	内力上限提高1056点，持续30分钟
佳·虎皮凤爪	内功破防值提高195点，持续30分钟
佳·回元餐	回复精力51点
佳·君子知身汤	身法提高73点，持续30分钟
佳·麻香软骨脆	外功攻击提高220点，持续30分钟
佳·肉骨茶	招式附加威胁值提高34%，持续30分钟
佳·甜菜蜜肉	拆招值提高1209点，持续30分钟
佳·逍遥固元汤	元气提高73点，持续30分钟
佳·芋丝蒸肉糕	外功破防值提高195点，持续30分钟
佳·转神餐	回复体力51点
佳·走油蹄髈	内功伤害提高264点，持续30分钟
家乡小炒	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升7的好感度体质提高24点，内功防御等级提高24点，每秒恢复的气血值提高5点，气血最大值提高240点
煎豆腐	力道提高21点，持续30分钟
健体汤	外功破防值提高76点，持续30分钟
姜丝板筋	身法提高15点，持续15分钟
浆面条	内力最大值提高132点，持续15分钟
酱白菜	体质提高15点，持续15分钟
酱爆腰花	外功防御等级提高6点，气血最大值提高61点，持续15分钟
酱腐骨	施展伤害或疗伤招式后，有20%几率使小队成员体质提高2点，持续15秒，最多叠加5层，持续15分钟
酱萝卜炸儿	根骨提高21点，持续30分钟
酱闷软骨	内功防御等级提高32点，持续15分钟
酱肉闷瓜	体质提高24点，身法提高66点，持续30分钟
酱烧排骨	根骨提高21点，持续15分钟
酱腌鸡爪	体质提高65点，持续30分钟
酱猪肉	体质提高28点，持续30分钟
椒麻口条	回复体力45点
椒盐排骨	身法提高21点，持续30分钟
焦炙肉扒	疗伤成效提高347点，持续30分钟
节源宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有50%几率提升4的好感度气血最大值提高135点，外功攻击提高30点
结缘宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有50%几率提升4的好感度气血最大值提高135点，内力最大值提高146点
酒醉排骨	内力最大值提高132点，持续15分钟
君子知身汤	身法提高49点，持续30分钟
开水煮白菜	全属性增加4点，持续15分钟
昆仑禁食	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升18的好感度气血上限提高1595点，拆招值提高21点，招架等级提高385点，外功防御等级提高21点
辣酱肉片	提高每秒回复气力2点，持续15分钟
里脊肉卷饼	体质提高14点，身法提高10点，持续15分钟
莲藕排骨汤 	气血最大值提高243点，持续15分钟
凉拌猪耳	每秒恢复的内力值提高13点，持续15分钟
六筋炖	施展伤害或疗伤招式后，有20%几率使小队成员元气提高2点，持续15秒，最多叠加5层，持续15分钟
龙虎豆	施展伤害或疗伤招式后，有20%几率使小队成员身法提高5点，持续15秒，最多叠加5层，持续15分钟
卤肠	内功攻击提高18点，持续15分钟
萝卜肉饼	气血最大值提高162点，持续15分钟
萝卜瘦肉汤	外功防御等级提高7点，气血最大值提高40点，持续15分钟
麻辣脆骨	外功攻击提高64点，持续15分钟
麻辣血肠	精力值恢复23点
麻婆豆腐	招式附加威胁值降低5%，持续15分钟
麻食泡	精力值恢复5点
麻香软骨脆	外功攻击提高147点，持续30分钟
麻圆	外功攻击提高64点，持续15分钟
毛血旺	精力值恢复18点
秘制炒肉排	招式附加威胁值提高10%，持续15分钟
蜜汁粟腰	提高当前功体最受益的攻击力8点，持续30分钟
蘑菇炖香腰	提高当前功体最受益的属性6点，持续30分钟
南山宴	疗伤成效提高144点，内功会心等级提高50，每秒恢复气血值提高6点，每秒恢复内力值提高10点，持续1小时
排骨白菜汤	力道提高21点，持续15分钟
盘龙饺	击杀怪物获得2倍阅历，持续15分钟
泡儿油糕	元气提高5点，持续15分钟
泡椒凤爪	内功攻击提高77点，持续15分钟
岐山面	体力值恢复7点
强身汤	提高拆招值389点，持续30分钟
炝炒肉排	内功攻击提高88点，持续30分钟
荞面包子	招式附加威胁值提高15%，持续30分钟
青椒脆骨	身法提高49点，持续30分钟
清食小点	处于组队状态时，摆出一桌宴席，宴请同队队友，并有50%几率提升8的好感度气血最大值提高135点，内力最大值提高146点
清心汤	内力最大提高528点，持续30分钟
任侠小炒	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升12的好感度每秒恢复的内力值提高7点，外功攻击提高40点，内功攻击提高50点
肉骨茶	招式附加威胁值提高23%，持续30分钟
肉夹馍	力道提高6点，持续15分钟
润肺汤	外功会心效果等级提高130点，持续30分钟
三头宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升12的好感度气血最大值提高225点，体质提高23点，根骨提高17点
山河宴	处于组队状态时，摆出一桌宴席，宴请同队队友外功攻击提高50点，毒性内功攻击提高60点，外功命中等级提高15点，力道提高15点，身法提高15点，根骨提高15点，持续1小时
烧饼	体质提高8点，持续15分钟
烧罗汉面筋	每秒恢复的气血值提高1点，持续15分钟
生肉藕夹	精力值恢复5点
瘦肉粟米羹	内功攻击提高44点，持续15分钟
蜀味“红”宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升15的好感度气血最大值提高203点，体质提高20点，每秒恢复的气血值提高4点，外功防御等级提高20点
蜀味烘焙宴	招式附加威胁值提高30%，内功防御等级提高27点，外功防御等级提高27，气血值上限提高250点，持续1小时
水浒肉	元气提高24点，持续15分钟
水煮肉片	闪避等级提高32点，持续15分钟
水煮小锅	体质提高24点，力道提高32点，持续30分钟
四喜扣肉	元气提高15点，持续15分钟
四喜汤团	体质提高12点，持续15分钟
酥脆软骨	力道提高49点，持续30分钟
粟米粉蒸肉	外功攻击提高37点，持续15分钟
粟子烧肉	根骨提高9点，持续15分钟
蒜泥白肉	体力值恢复15点
蒜香白肉	每秒恢复的气血值提高6点，持续15分钟
蒜香凤爪	元气提高49点，持续30分钟
蒜香口条	会心等级提高65点，持续15分钟
蒜香炸骨排	体质提高7点，力道提高5点，持续15分钟
蒜香蒸排骨	每秒恢复内力值提高11点，持续15分钟
碎肉骨头汤	每秒恢复的气血值提高3点，每秒恢复的内力值提高5点，持续15分钟
碎肉米线	提高治疗成效174点，持续15分钟
碎肉烫面角	根骨提高6点，持续15分钟
太后饼	气血最大值提高122点，持续15分钟
碳烤软骨	外功攻击提高146点，持续30分钟
糖醋排骨	每秒恢复的气血值提高3点，持续15分钟
藤椒农家肉	外功攻击提高73点，持续30分钟
提神汤	内功破防值提高61点，持续30分钟
甜菜蜜肉	拆招值提高806点，持续30分钟
团圆宴	处于组队状态时，摆出一桌宴席，宴请同队队友，提升20点好感度气血上限提高240点，体质提高24点，生命回复每秒提高5点，外功防御等级提高24点持续1小时
万寿宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升18的好感度内功攻击提高46点，每秒恢复的内力值提高9点，根骨提高18点，元气提高18点
文会宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升20的好感度内功伤害提高64点，内力恢复每秒提高9点，根骨提高18点，元气提高18点
洗尘宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升18的好感度根骨提高18点，元气提高18点，内力最大值提高250点，每秒恢复的内力值提高9点
戏凤饺	所有属性提高25点，持续15分钟
鲜肉包子	每秒恢复的内力值提高2点，持续15分钟
香辣蹄髈	命中等级提高65点，持续15分钟
香酥排骨	身法提高21点，持续15分钟
逍遥固元汤	元气提高49点，持续30分钟
小炒肉	每秒恢复的内力值提高24点，持续15分钟
小炒血冻	体质提高24点，元气提高28点，持续30分钟
笑忘筋	施展伤害或疗伤招式后，有20%几率使小队成员力道提高2点，持续15秒，最多叠加5层，持续15分钟
兄弟宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升12的好感度气血最大值提高170点，内力最大值提高180点，每秒恢复的内力值提高4点，每秒恢复的气血值提高7点
血丸子	精力值恢复18点，体力值恢复20点
熏烤蹄髈	内功攻击提高176点，持续30分钟
盐煎肉	每秒恢复的气血值提高4点，每秒恢复的内力值提高6点，持续15分钟
银丝卷	体力回复30点
迎宾宴	处于组队状态时，摆出一桌宴席，宴请同队队友，提升20点好感度外功攻击提高53点，毒性内功攻击提高64点，气血恢复每秒提高5点，力道提高18点，身法提高18点持续1小时
迎客宴	处于组队状态时，摆出一桌宴席，宴请同队队友，并有80%几率提升18的好感度力道提高18点，身法提高18点，气血最大值提高240点，每秒恢复的气血值提高5点
油炸肉条	外功防御等级提高6点，气血最大值提高61点，持续15分钟
鱼香肉丝	外功攻击提高64点，持续15分钟
玉笛谁家听落梅	处于组队状态时，摆出一桌宴席，宴请同队队友外功攻击提高50点，毒性内功攻击提高60点，外功命中等级提高43点，力道提高16点，身法提高16点，根骨提高16点，持续1小时
玉麟香腰	体力值恢复10点
芋丝蒸肉糕	外功破防值提高130点，持续30分钟
鸳鸯烩珍宴	疗伤成效提高144点，内功会心等级提高54，每秒恢复气血值提高6点，每秒恢复内力值提高10点，持续1小时
杂碎面	身法提高6点，持续15分钟
杂碎汤	元气提高3点，持续15分钟
炸春卷	外功攻击提高64点，持续30分钟
炸酱面	内功攻击提高77点，持续15分钟
张掖大菜	根骨提高10点，元气提高10点，持续15分钟
壮骨汤	内功会心效果等级提高130点，持续30分钟
滋补汤	基础疗伤成效提高467点，持续30分钟
紫盖肉	内功攻击提高55点，持续15分钟
走油蹄髈	内功攻击提高176点，持续30分钟
安戎·锻（加速）	帽子加速等级提高65
安戎·染（力道）	护腕力道+33
安戎·染（疗伤）	护腕治疗成效提高231
安戎·染（内会效）	护腕内功会心效果等级提高86
安戎·染（内伤）	护腕内功攻击提高117点
安戎·染（外会效）	护腕外功会心效果等级提高86
安戎·染（外伤）	护腕外功攻击提高98
安戎·染（元气）	护腕元气+33
安戎·纹（拆值）	腰带拆招值提高537
安戎·纹（化劲）	腰带化劲等级提高43
安戎·纹（内防）	腰带内功防御等级提高43
安戎·纹（内回）	腰带每秒内力恢复提升17
安戎·纹（内力）	腰带内力上限提高469
安戎·纹（气回）	腰带每秒气血恢复提升10
安戎·纹（气血）	腰带气血上限提高432
安戎·纹（闪避）	腰带闪避等级提高43
安戎·纹（体质）	腰带体质+43
安戎·纹（外防）	腰带外功防御等级额外提高43
安戎·纹（御劲）	腰带御劲等级提高43
安戎·纹（招架）	腰带招架等级提高43
安戎·绣（拆值）	上衣拆招值提高537
安戎·绣（化劲）	上衣化劲等级提高43
安戎·绣（内防）	上衣内功防御等级提高43
安戎·绣（内回）	上衣每秒内力恢复提升17
安戎·绣（内力）	上衣内力上限提高469
安戎·绣（气回）	上衣每秒气血恢复提升10
安戎·绣（气血）	上衣气血上限提高432
安戎·绣（闪避）	上衣闪避等级提高43
安戎·绣（体质）	上衣体质+43
安戎·绣（外防）	上衣外功防御等级额外提高43
安戎·绣（御劲）	上衣御劲等级提高43
安戎·绣（招架）	上衣招架等级提高43
安戎·印（力道）	下装力道+43
安戎·印（疗伤）	下装治疗成效提高231
安戎·印（内会效）	下装内功会心效果等级提高86
安戎·印（内伤）	下装内功攻击提高117点
安戎·印（外会效）	下装外功会心效果等级提高86
安戎·印（外伤）	下装外功攻击提高98
安戎·印（元气）	下装元气+33
安戎·铸（加速）	鞋子加速等级提高65
霸蜀染（下装）	下装御劲等级提高22
霸蜀染（腰带）	腰带化劲等级提高22
霸蜀绣（护手）	护腕化劲等级提高22
霸蜀绣（上装）	上衣御劲等级提高22
白虎染（下装）	下装外功攻击提高98
白虎染（腰带）	腰带外功攻击提高98
白虎绣（护手）	护腕外功攻击提高98
白虎绣（上装）	上衣外功攻击提高98
壁	与珠合二为一，可得到珠联璧合
彩锦香包	对好友使用，增加好感度8点
彩色薄贴	对目标使用，4秒内回复气血1500点
彩云逐月	将彩云逐月烟花放入花灯内，寄托相思
苍海·染（力道）	护腕力道+43
苍海·染（元气）	护腕元气+39
苍海·纹（体质）	腰带体质+32
苍海·绣（体质）	上衣体质+32
苍海·印（力道）	下装力道+43
苍海·印（元气）	下装元气+39
藏青染（下装）	下装御劲等级提高19
藏青染（腰带）	腰带每秒内力恢复提升8
藏青绣（护手）	护腕每秒内力恢复提升8
藏青绣（头部）	帽子御劲等级提高19
橙红染（下装）	下装内功会心等级提高38
橙红绣（头部）	帽子内功攻击提高51点
绸缎薄贴	对目标使用，6秒回复气血2250点
刺绣手绢	对好友使用，增加好感度14点
粗制薄贴	对目标使用，2秒内回复气血600点
翠青绣染（下装）	根骨永久提升3点（下装）
丹青染布画	对好友使用，增加好感度14点
靛蓝染（腰带）	腰带根骨+7
靛蓝绣（护手）	护腕根骨+7
鹅黄染（下装）	下装力道+6
鹅黄染（腰带）	腰带元气+6
鹅黄绣（护手）	护腕元气+6
鹅黄绣（头部）	帽子力道+6
妃红染（下装）	下装根骨+6
妃红染（腰带）	腰带体质+6
妃红绣（护手）	护腕体质+6
固·安戎·锻（加速）	帽子加速等级提高130
固·安戎·铸（加速）	鞋子加速等级提高130
挂件包·背部	增加背部挂件背包格数一格
挂件包·腰部	增加腰部挂件背包格数一格
鬼虎染（下装）	下装御劲等级提高43
鬼虎染（腰带）	腰带化劲等级提高43
鬼虎绣（护手）	护腕化劲等级提高43
鬼虎绣（上装）	上衣御劲等级提高43
海棠染（下装）	下装气血上限提高150，外功防御等级提高25
海棠绣（头部）	帽子气血上限提高150，外功防御等级提高25
行军·染（内伤）	护腕内功攻击提高44点
行军·纹（气血）	腰带气血上限提高162
行军·绣（气血）	上衣气血上限提高162
行军·印（内伤）	下装内功攻击提高44点
黑曜染（下装）	下装外功攻击提高98
黑曜染（腰带）	腰带外功攻击提高98
黑曜绣（护手）	护腕外功攻击提高98
黑曜绣（上装）	上衣外功攻击提高98
吉黄染（鞋子）	鞋子移动速度提高3%，内功防御等级提高22
吉黄绣（鞋子）	鞋子移动速度提高3%，内功防御等级提高22
角砾染（下装）	下装外功破防等级提高43
角砾染（腰带）	腰带外功会心等级提高43
角砾绣（护手）	护腕外功会心等级提高43
角砾绣（上装）	上衣外功破防等级提高43
净白染（下装）	下装体质+8
净白染（腰带）	腰带根骨+6
净白绣（护手）	护腕根骨+6
净白绣（头部）	帽子体质+6
橘红染（下装）	下装治疗成效提高101
橘红染（腰带）	腰带体质+10
橘红绣（护手）	护腕体质+10
橘红绣（头部）	帽子治疗成效提高101
蓝叶染（腰带）	腰带力道+6
蓝叶绣（护手）	护腕力道+6
绫罗绣球	对好友使用，增加好感度12点
流纹染（下装）	下装内功破防等级提高43
流纹染（腰带）	腰带内功会心等级提高43
流纹绣（护手）	护腕内功会心等级提高43
流纹绣（上装）	上衣内功破防等级提高43
煤黑染（腰带）	腰带身法+6
煤黑绣（护手）	护腕身法+6
煤黑绣（头部）	帽子根骨+6
明朗·染（疗伤）	护腕治疗成效提高231
明朗·纹（拆值）	腰带拆招值提高537
明朗·纹（内回）	腰带每秒内力恢复提升17
明朗·纹（内力）	腰带内力上限提高469
明朗·纹（气回）	腰带每秒气血恢复提升10
明朗·纹（气血）	腰带气血上限提高432
明朗·绣（拆值）	上衣拆招值提高537
明朗·绣（内回）	上衣每秒内力恢复提升17
明朗·绣（内力）	上衣内力上限提高469
明朗·绣（气回）	上衣每秒气血恢复提升10
明朗·绣（气血）	上衣气血上限提高432
明朗·印（疗伤）	下装治疗成效提高231
墨灰染（鞋子）	鞋子气血上限提高81
墨灰绣（鞋子）	鞋子气血上限提高81
岐黄染（下装）	下装气血上限提高216
岐黄染（腰带）	腰带气血上限提高216
岐黄绣（护手）	护腕气血上限提高216
岐黄绣（上装）	上衣气血上限提高216
青龙染（下装）	下装内功攻击提高117点
青龙染（腰带）	腰带内功攻击提高117点
青龙绣（护手）	护腕内功攻击提高117点
青龙绣（上装）	上衣内功攻击提高117点
纱制薄贴	对目标使用，8秒内回复气血3000点
山水刺绣手绢	对好友使用，增加好感度18点
山水丹青染布画	对好友使用，增加好感度18点
山水绣染（护手）	元气永久提升3点（护腕）
山水绣染（头部）	元气永久提升3点（帽子）
水波绫香袋	对好友使用，增加好感度10点
丝制薄贴	对目标使用，3秒内回复气血1000点
桃花灯	放飞升空，情意绵绵
田黄染（下装）	下装治疗成效提高231
田黄染（腰带）	腰带治疗成效提高231
田黄绣（护手）	护腕治疗成效提高231
田黄绣（上装）	上衣治疗成效提高231
铁黑染（腰带）	腰带身法+7
铁黑绣（护手）	护腕身法+7
铁血绣染（护手）	体质永久提升5点（护腕）
铁血绣染（头部）	体质永久提升5点（帽子）
五彩球·赤	抛给其他玩家，可以增加其攻击能力
五彩球·蓝	抛给其他玩家，可以增加其生存能力
小香包	对好友使用，增加好感度4点
杏黄染（下装）	下装体质+17
杏黄染（鞋子）	鞋子移动速度提高5%
杏黄染（腰带）	腰带元气+7
杏黄绣（护手）	护腕元气+7
杏黄绣（头部）	帽子体质+22
杏黄绣（鞋子）	鞋子移动速度提高5%
绣花香包	对好友使用，增加好感度6点
雅·安戎·染（力道）	护腕力道+49
雅·安戎·染（疗伤）	护腕治疗成效提高347
雅·安戎·染（内会效）	护腕内功会心效果等级提高130
雅·安戎·染（内伤）	护腕内功攻击提高176点
雅·安戎·染（外会效）	护腕外功会心效果等级提高130
雅·安戎·染（外伤）	护腕外功攻击提高147
雅·安戎·染（元气）	护腕元气+49
雅·安戎·纹（拆值）	腰带拆招值提高806
雅·安戎·纹（化劲）	腰带化劲等级提高65
雅·安戎·纹（内防）	腰带内功防御等级提高65
雅·安戎·纹（内回）	腰带每秒内力恢复提升25
雅·安戎·纹（内力）	腰带内力上限提高704
雅·安戎·纹（气回）	腰带每秒气血恢复提升15
雅·安戎·纹（气血）	腰带气血上限提高649
雅·安戎·纹（闪避）	腰带闪避等级提高65
雅·安戎·纹（体质）	腰带体质+65
雅·安戎·纹（外防）	腰带外功防御等级额外提高65
雅·安戎·纹（御劲）	腰带御劲等级提高65
雅·安戎·纹（招架）	腰带招架等级提高65
雅·安戎·绣（拆值）	上衣拆招值提高806
雅·安戎·绣（化劲）	上衣化劲等级提高65
雅·安戎·绣（内防）	上衣内功防御等级提高65
雅·安戎·绣（内回）	上衣每秒内力恢复提升25
雅·安戎·绣（内力）	上衣内力上限提高704
雅·安戎·绣（气回）	上衣每秒气血恢复提升15
雅·安戎·绣（气血）	上衣气血上限提高649
雅·安戎·绣（闪避）	上衣闪避等级提高65
雅·安戎·绣（体质）	上衣体质+65
雅·安戎·绣（外防）	上衣外功防御等级额外提高65
雅·安戎·绣（御劲）	上衣御劲等级提高65
雅·安戎·绣（招架）	上衣招架等级提高65
雅·安戎·印（力道）	下装力道+49
雅·安戎·印（疗伤）	下装治疗成效提高347
雅·安戎·印（内会效）	下装内功会心效果等级提高130
雅·安戎·印（内伤）	下装内功攻击提高176点
雅·安戎·印（外会效）	下装外功会心效果等级提高130
雅·安戎·印（外伤）	下装外功攻击提高147
雅·安戎·印（元气）	下装元气+49
岩蓝染（下装）	下装元气+16
岩蓝绣（头部）	帽子元气+16
益元染（下装）	下装内力上限提高235
益元染（腰带）	腰带内力上限提高235
益元绣（护手）	护腕内力上限提高235
益元绣（上装）	上衣内力上限提高235
莹白染（下装）	下装力道+16
莹白染（腰带）	腰带力道+7
莹白绣（护手）	护腕力道+7
莹白绣（头部）	帽子力道+16
雨花染（下装）	下装内功攻击提高117点
雨花染（腰带）	腰带内功攻击提高117点
雨花绣（护手）	护腕内功攻击提高117点
雨花绣（上装）	上衣内功攻击提高117点
云锡染（下装）	下装外功命中等级提高43
云锡染（腰带）	腰带外功命中等级提高86
云锡绣（护手）	护腕外功命中等级提高86
云锡绣（上装）	上衣外功命中等级提高43
云英染（下装）	下装内功命中等级提高86
云英染（腰带）	腰带内功命中等级提高43
云英绣（护手）	护腕内功命中等级提高43
云英绣（上装）	上衣内功命中等级提高86
湛蓝绣染（护手）	力道永久提升3点（护腕）
朱雀染（下装）	下装治疗成效提高231
朱雀染（腰带）	腰带治疗成效提高231
朱雀绣（护手）	护腕治疗成效提高231
朱雀绣（上装）	上衣治疗成效提高231
紫碧绣染（下装）	身法永久提升5点（下装）
安戎·锻（仇恨）	帽子招式产生威胁提高14.6%
安戎·锻（根骨）	帽子根骨+33
安戎·锻（内会）	帽子内功会心等级提高86
安戎·锻（内命）	帽子内功命中等级提高86
安戎·锻（内破）	帽子内功破防等级提高86
安戎·锻（身法）	帽子身法+33
安戎·锻（外会）	帽子外功会心等级提高86
安戎·锻（外命）	帽子外功命中等级提高86
安戎·锻（外破）	帽子外功破防等级提高86
安戎·锻（无双）	帽子无双等级提高86
安戎·磨石（疗伤）	近身武器治疗成效提高231
安戎·磨石（内伤）	近身武器内功攻击提高117点
安戎·磨石（外伤）	近身武器外功攻击提高98
安戎·磨石（武伤）	近身武器近战武器伤害提高15
安戎·熔锭（疗伤）	近身武器治疗成效提高347，持续30分钟
安戎·熔锭（内伤）	近身武器内功攻击提高176点，持续30分钟
安戎·熔锭（外伤）	近身武器外功攻击提高147，持续30分钟
安戎·熔锭（武伤）	近身武器近战武器伤害提高22，持续30分钟
安戎·铸（仇恨）	鞋子招式产生威胁提高14.6%
安戎·铸（根骨）	鞋子根骨+33
安戎·铸（内会）	鞋子内功会心等级提高86
安戎·铸（内命）	鞋子内功命中等级提高86
安戎·铸（内破）	鞋子内功破防等级提高86
安戎·铸（身法）	鞋子身法+33
安戎·铸（外会）	鞋子外功会心等级提高86
安戎·铸（外命）	鞋子外功命中等级提高86
安戎·铸（外破）	鞋子外功破防等级提高86
安戎·铸（无双）	鞋子无双等级提高86
霸蜀甲片（头部）	帽子御劲等级提高22
霸蜀甲片（鞋子）	鞋子化劲等级提高22
霸蜀磨石	近身武器御劲等级提高22
白虎甲片（头部）	帽子外功攻击提高98
白虎甲片（鞋子）	鞋子外功攻击提高98
白虎磨石	近身武器近战武器伤害提高15
百鬼磨石	近身武器外功会心等级提高38
百炼甲片	上衣力道+6
百炼银甲	上衣体质+8
鞭炮	燃放鞭炮
苍海·锻（根骨）	帽子根骨+33
苍海·锻（身法）	帽子身法+33
苍海·铸（根骨）	鞋子根骨+33
苍海·铸（身法）	鞋子身法+33
粗磨石	近身武器近战武器伤害提高1
粗砂磨石	近身武器近战武器伤害提高2，持续30分钟
窜天猴	燃放窜天猴
翠青甲片（腰带）	腰带根骨+5
固·安戎·锻（仇恨）	帽子招式产生威胁提高22.5%
固·安戎·锻（根骨）	帽子根骨+49
固·安戎·锻（内会）	帽子内功会心等级提高130
固·安戎·锻（内命）	帽子内功命中等级提高130
固·安戎·锻（内破）	帽子内功破防等级提高130
固·安戎·锻（身法）	帽子身法+49
固·安戎·锻（外会）	帽子外功会心等级提高130
固·安戎·锻（外命）	帽子外功命中等级提高130
