szName	szDesc
紅燒五花肉	根骨提高15點，持續15分鐘
紅血腸	每秒恢復的氣血值提高2點，持續15分鐘
鴻門宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升15的好感度力道提高13點，身法提高13點，體質提高17點，根骨提高13點
胡辣湯	身法提高9點，持續15分鐘
葫蘆頭	力道提高9點，持續15分鐘
虎皮鳳爪	內功破防值提高130點，持續30分鐘
化瘀湯	氣血最大提高486點，持續30分鐘
歡慶宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，提升20點好感度內力提高250點，根骨提高18點，內力回復每秒提高9點，治療量提高126點持續1小時
黃瓜腱子肉	每秒恢復的內力值提高8點，持續15分鐘
黃瓜小炒肉	提高當前功體最受益的屬性13點，持續30分鐘
回鍋肉	力道提高10點，身法提高10點，持續15分鐘
匯珍宴	氣血值上限提高240點，禦勁提高24點，化勁提高24點，全屬性提高15點，持續1小時
餛飩	精力值恢復5點
佳·安榮力勁湯	力道提高73點，持續30分鐘
佳·八珍強體湯	體質提高97點，持續30分鐘
佳·白芷增骨湯	根骨提高73點，持續30分鐘
佳·薄荷蒸排骨	每秒氣血回復提高22點，持續30分鐘
佳·蔥爆肉丁	療傷成效提高521點，持續30分鐘
佳·佛手排骨	外功會心效果等級提高195點，持續30分鐘
佳·鍋包肉	每秒內力回復提高38點，持續30分鐘
佳·合餅卷菜	內功會心效果等級提高195點，持續30分鐘
佳·黑山剁	氣血上限提高973點，持續30分鐘
佳·紅山剁	內力上限提高1056點，持續30分鐘
佳·虎皮鳳爪	內功破防值提高195點，持續30分鐘
佳·回元餐	回復精力51點
佳·君子知身湯	身法提高73點，持續30分鐘
佳·麻香軟骨脆	外功攻擊提高220點，持續30分鐘
佳·肉骨茶	招式附加威脅值提高34%，持續30分鐘
佳·甜菜蜜肉	拆招值提高1209點，持續30分鐘
佳·逍遙固元湯	元氣提高73點，持續30分鐘
佳·芋絲蒸肉糕	外功破防值提高195點，持續30分鐘
佳·轉神餐	回復體力51點
佳·走油蹄髈	內功傷害提高264點，持續30分鐘
家鄉小炒	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升7的好感度體質提高24點，內功防禦等級提高24點，每秒恢復的氣血值提高5點，氣血最大值提高240點
煎豆腐	力道提高21點，持續30分鐘
健體湯	外功破防值提高76點，持續30分鐘
薑絲板筋	身法提高15點，持續15分鐘
漿麵條	內力最大值提高132點，持續15分鐘
醬白菜	體質提高15點，持續15分鐘
醬爆腰花	外功防禦等級提高6點，氣血最大值提高61點，持續15分鐘
醬腐骨	施展傷害或療傷招式後，有20%幾率使小隊成員體質提高2點，持續15秒，最多疊加5層，持續15分鐘
醬蘿蔔炸兒	根骨提高21點，持續30分鐘
醬悶軟骨	內功防禦等級提高32點，持續15分鐘
醬肉悶瓜	體質提高24點，身法提高66點，持續30分鐘
醬燒排骨	根骨提高21點，持續15分鐘
醬醃雞爪	體質提高65點，持續30分鐘
醬豬肉	體質提高28點，持續30分鐘
椒麻口條	回復體力45點
椒鹽排骨	身法提高21點，持續30分鐘
焦炙肉扒	療傷成效提高347點，持續30分鐘
節源宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有50%幾率提升4的好感度氣血最大值提高135點，外功攻擊提高30點
結緣宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有50%幾率提升4的好感度氣血最大值提高135點，內力最大值提高146點
酒醉排骨	內力最大值提高132點，持續15分鐘
君子知身湯	身法提高49點，持續30分鐘
開水煮白菜	全屬性增加4點，持續15分鐘
昆侖禁食	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升18的好感度氣血上限提高1595點，拆招值提高21點，招架等級提高385點，外功防禦等級提高21點
辣醬肉片	提高每秒回復氣力2點，持續15分鐘
裡脊肉卷餅	體質提高14點，身法提高10點，持續15分鐘
蓮藕排骨湯	氣血最大值提高243點，持續15分鐘
涼拌豬耳	每秒恢復的內力值提高13點，持續15分鐘
六筋燉	施展傷害或療傷招式後，有20%幾率使小隊成員元氣提高2點，持續15秒，最多疊加5層，持續15分鐘
龍虎豆	施展傷害或療傷招式後，有20%幾率使小隊成員身法提高5點，持續15秒，最多疊加5層，持續15分鐘
鹵腸	內功攻擊提高18點，持續15分鐘
蘿蔔肉餅	氣血最大值提高162點，持續15分鐘
蘿蔔瘦肉湯	外功防禦等級提高7點，氣血最大值提高40點，持續15分鐘
麻辣脆骨	外功攻擊提高64點，持續15分鐘
麻辣血腸	精力值恢復23點
麻婆豆腐	招式附加威脅值降低5%，持續15分鐘
麻食泡	精力值恢復5點
麻香軟骨脆	外功攻擊提高147點，持續30分鐘
麻圓	外功攻擊提高64點，持續15分鐘
毛血旺	精力值恢復18點
秘制炒肉排	招式附加威脅值提高10%，持續15分鐘
蜜汁粟腰	提高當前功體最受益的攻擊力8點，持續30分鐘
蘑菇燉香腰	提高當前功體最受益的屬性6點，持續30分鐘
南山宴	療傷成效提高144點，內功會心等級提高50，每秒恢復氣血值提高6點，每秒恢復內力值提高10點，持續1小時
排骨白菜湯	力道提高21點，持續15分鐘
盤龍餃	擊殺怪物獲得2倍閱歷，持續15分鐘
泡兒油糕	元氣提高5點，持續15分鐘
泡椒鳳爪	內功攻擊提高77點，持續15分鐘
岐山面	體力值恢復7點
強身湯	提高拆招值389點，持續30分鐘
熗炒肉排	內功攻擊提高88點，持續30分鐘
蕎麵包子	招式附加威脅值提高15%，持續30分鐘
青椒脆骨	身法提高49點，持續30分鐘
清食小點	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有50%幾率提升8的好感度氣血最大值提高135點，內力最大值提高146點
清心湯	內力最大提高528點，持續30分鐘
任俠小炒	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升12的好感度每秒恢復的內力值提高7點，外功攻擊提高40點，內功攻擊提高50點
肉骨茶	招式附加威脅值提高23%，持續30分鐘
肉夾饃	力道提高6點，持續15分鐘
潤肺湯	外功會心效果等級提高130點，持續30分鐘
三頭宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升12的好感度氣血最大值提高225點，體質提高23點，根骨提高17點
山河宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友外功攻擊提高50點，毒性內功攻擊提高60點，外功命中等級提高15點，力道提高15點，身法提高15點，根骨提高15點，持續1小時
燒餅	體質提高8點，持續15分鐘
燒羅漢麵筋	每秒恢復的氣血值提高1點，持續15分鐘
生肉藕夾	精力值恢復5點
瘦肉粟米羹	內功攻擊提高44點，持續15分鐘
蜀味“紅”宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升15的好感度氣血最大值提高203點，體質提高20點，每秒恢復的氣血值提高4點，外功防禦等級提高20點
蜀味烘焙宴	招式附加威脅值提高30%，內功防禦等級提高27點，外功防禦等級提高27，氣血值上限提高250點，持續1小時
水滸肉	元氣提高24點，持續15分鐘
水煮肉片	閃避等級提高32點，持續15分鐘
水煮小鍋	體質提高24點，力道提高32點，持續30分鐘
四喜扣肉	元氣提高15點，持續15分鐘
四喜湯糰	體質提高12點，持續15分鐘
酥脆軟骨	力道提高49點，持續30分鐘
粟米粉蒸肉	外功攻擊提高37點，持續15分鐘
粟子燒肉	根骨提高9點，持續15分鐘
蒜泥白肉	體力值恢復15點
蒜香白肉	每秒恢復的氣血值提高6點，持續15分鐘
蒜香鳳爪	元氣提高49點，持續30分鐘
蒜香口條	會心等級提高65點，持續15分鐘
蒜香炸骨排	體質提高7點，力道提高5點，持續15分鐘
蒜香蒸排骨	每秒恢復內力值提高11點，持續15分鐘
碎肉骨頭湯	每秒恢復的氣血值提高3點，每秒恢復的內力值提高5點，持續15分鐘
碎肉米線	提高治療成效174點，持續15分鐘
碎肉燙麵角	根骨提高6點，持續15分鐘
太后餅	氣血最大值提高122點，持續15分鐘
碳烤軟骨	外功攻擊提高146點，持續30分鐘
糖醋排骨	每秒恢復的氣血值提高3點，持續15分鐘
藤椒農家肉	外功攻擊提高73點，持續30分鐘
提神湯	內功破防值提高61點，持續30分鐘
甜菜蜜肉	拆招值提高806點，持續30分鐘
團圓宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，提升20點好感度氣血上限提高240點，體質提高24點，生命回復每秒提高5點，外功防禦等級提高24點持續1小時
萬壽宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升18的好感度內功攻擊提高46點，每秒恢復的內力值提高9點，根骨提高18點，元氣提高18點
文會宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升20的好感度內功傷害提高64點，內力恢復每秒提高9點，根骨提高18點，元氣提高18點
洗塵宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升18的好感度根骨提高18點，元氣提高18點，內力最大值提高250點，每秒恢復的內力值提高9點
戲鳳餃	所有屬性提高25點，持續15分鐘
鮮肉包子	每秒恢復的內力值提高2點，持續15分鐘
香辣蹄髈	命中等級提高65點，持續15分鐘
香酥排骨	身法提高21點，持續15分鐘
逍遙固元湯	元氣提高49點，持續30分鐘
小炒肉	每秒恢復的內力值提高24點，持續15分鐘
小炒血凍	體質提高24點，元氣提高28點，持續30分鐘
笑忘筋	施展傷害或療傷招式後，有20%幾率使小隊成員力道提高2點，持續15秒，最多疊加5層，持續15分鐘
兄弟宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升12的好感度氣血最大值提高170點，內力最大值提高180點，每秒恢復的內力值提高4點，每秒恢復的氣血值提高7點
血丸子	精力值恢復18點，體力值恢復20點
熏烤蹄髈	內功攻擊提高176點，持續30分鐘
鹽煎肉	每秒恢復的氣血值提高4點，每秒恢復的內力值提高6點，持續15分鐘
銀絲卷	體力回復30點
迎賓宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，提升20點好感度外功攻擊提高53點，毒性內功攻擊提高64點，氣血恢復每秒提高5點，力道提高18點，身法提高18點持續1小時
迎客宴	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友，並有80%幾率提升18的好感度力道提高18點，身法提高18點，氣血最大值提高240點，每秒恢復的氣血值提高5點
油炸肉條	外功防禦等級提高6點，氣血最大值提高61點，持續15分鐘
魚香肉絲	外功攻擊提高64點，持續15分鐘
玉笛誰家聽落梅	處於組隊狀態時，擺出一桌宴席，宴請同隊隊友外功攻擊提高50點，毒性內功攻擊提高60點，外功命中等級提高43點，力道提高16點，身法提高16點，根骨提高16點，持續1小時
玉麟香腰	體力值恢復10點
芋絲蒸肉糕	外功破防值提高130點，持續30分鐘
鴛鴦燴珍宴	療傷成效提高144點，內功會心等級提高54，每秒恢復氣血值提高6點，每秒恢復內力值提高10點，持續1小時
雜碎面	身法提高6點，持續15分鐘
雜碎湯	元氣提高3點，持續15分鐘
炸春捲	外功攻擊提高64點，持續30分鐘
炸醬麵	內功攻擊提高77點，持續15分鐘
張掖大菜	根骨提高10點，元氣提高10點，持續15分鐘
壯骨湯	內功會心效果等級提高130點，持續30分鐘
滋補湯	基礎療傷成效提高467點，持續30分鐘
紫蓋肉	內功攻擊提高55點，持續15分鐘
走油蹄髈	內功攻擊提高176點，持續30分鐘
安戎·鍛（加速）	帽子加速等級提高65
安戎·染（力道）	護腕力道+33
安戎·染（療傷）	護腕治療成效提高231
安戎·染（內會效）	護腕內功會心效果等級提高86
安戎·染（內傷）	護腕內功攻擊提高117點
安戎·染（外會效）	護腕外功會心效果等級提高86
安戎·染（外傷）	護腕外功攻擊提高98
安戎·染（元氣）	護腕元氣+33
安戎·紋（拆值）	腰帶拆招值提高537
安戎·紋（化勁）	腰帶化勁等級提高43
安戎·紋（內防）	腰帶內功防禦等級提高43
安戎·紋（內回）	腰帶每秒內力恢復提升17
安戎·紋（內力）	腰帶內力上限提高469
安戎·紋（氣回）	腰帶每秒氣血恢復提升10
安戎·紋（氣血）	腰帶氣血上限提高432
安戎·紋（閃避）	腰帶閃避等級提高43
安戎·紋（體質）	腰帶體質+43
安戎·紋（外防）	腰帶外功防禦等級額外提高43
安戎·紋（禦勁）	腰帶禦勁等級提高43
安戎·紋（招架）	腰帶招架等級提高43
安戎·繡（拆值）	上衣拆招值提高537
安戎·繡（化勁）	上衣化勁等級提高43
安戎·繡（內防）	上衣內功防禦等級提高43
安戎·繡（內回）	上衣每秒內力恢復提升17
安戎·繡（內力）	上衣內力上限提高469
安戎·繡（氣回）	上衣每秒氣血恢復提升10
安戎·繡（氣血）	上衣氣血上限提高432
安戎·繡（閃避）	上衣閃避等級提高43
安戎·繡（體質）	上衣體質+43
安戎·繡（外防）	上衣外功防禦等級額外提高43
安戎·繡（禦勁）	上衣禦勁等級提高43
安戎·繡（招架）	上衣招架等級提高43
安戎·印（力道）	下裝力道+43
安戎·印（療傷）	下裝治療成效提高231
安戎·印（內會效）	下裝內功會心效果等級提高86
安戎·印（內傷）	下裝內功攻擊提高117點
安戎·印（外會效）	下裝外功會心效果等級提高86
安戎·印（外傷）	下裝外功攻擊提高98
安戎·印（元氣）	下裝元氣+33
安戎·鑄（加速）	鞋子加速等級提高65
霸蜀染（下裝）	下裝禦勁等級提高22
霸蜀染（腰帶）	腰帶化勁等級提高22
霸蜀繡（護手）	護腕化勁等級提高22
霸蜀繡（上裝）	上衣禦勁等級提高22
白虎染（下裝）	下裝外功攻擊提高98
白虎染（腰帶）	腰帶外功攻擊提高98
白虎繡（護手）	護腕外功攻擊提高98
白虎繡（上裝）	上衣外功攻擊提高98
壁	與珠合二為一，可得到珠聯璧合
彩錦香包	對好友使用，增加好感度8點
彩色薄貼	對目標使用，4秒內回復氣血1500點
彩雲逐月	將彩雲逐月煙花放入花燈內，寄託相思
蒼海·染（力道）	護腕力道+43
蒼海·染（元氣）	護腕元氣+39
蒼海·紋（體質）	腰帶體質+32
蒼海·繡（體質）	上衣體質+32
蒼海·印（力道）	下裝力道+43
蒼海·印（元氣）	下裝元氣+39
藏青染（下裝）	下裝禦勁等級提高19
藏青染（腰帶）	腰帶每秒內力恢復提升8
藏青繡（護手）	護腕每秒內力恢復提升8
藏青繡（頭部）	帽子禦勁等級提高19
橙紅染（下裝）	下裝內功會心等級提高38
橙紅繡（頭部）	帽子內功攻擊提高51點
綢緞薄貼	對目標使用，6秒回復氣血2250點
刺繡手絹	對好友使用，增加好感度14點
粗制薄貼	對目標使用，2秒內回復氣血600點
翠青繡染（下裝）	根骨永久提升3點（下裝）
丹青染布畫	對好友使用，增加好感度14點
靛藍染（腰帶）	腰帶根骨+7
靛藍繡（護手）	護腕根骨+7
鵝黃染（下裝）	下裝力道+6
鵝黃染（腰帶）	腰帶元氣+6
鵝黃繡（護手）	護腕元氣+6
鵝黃繡（頭部）	帽子力道+6
妃紅染（下裝）	下裝根骨+6
妃紅染（腰帶）	腰帶體質+6
妃紅繡（護手）	護腕體質+6
固·安戎·鍛（加速）	帽子加速等級提高130
固·安戎·鑄（加速）	鞋子加速等級提高130
掛件包·背部	增加背部掛件背包格數一格
掛件包·腰部	增加腰部掛件背包格數一格
鬼虎染（下裝）	下裝禦勁等級提高43
鬼虎染（腰帶）	腰帶化勁等級提高43
鬼虎繡（護手）	護腕化勁等級提高43
鬼虎繡（上裝）	上衣禦勁等級提高43
海棠染（下裝）	下裝氣血上限提高150，外功防禦等級提高25
海棠繡（頭部）	帽子氣血上限提高150，外功防禦等級提高25
行軍·染（內傷）	護腕內功攻擊提高44點
行軍·紋（氣血）	腰帶氣血上限提高162
行軍·繡（氣血）	上衣氣血上限提高162
行軍·印（內傷）	下裝內功攻擊提高44點
黑曜染（下裝）	下裝外功攻擊提高98
黑曜染（腰帶）	腰帶外功攻擊提高98
黑曜繡（護手）	護腕外功攻擊提高98
黑曜繡（上裝）	上衣外功攻擊提高98
吉黃染（鞋子）	鞋子移動速度提高3%，內功防禦等級提高22
吉黃繡（鞋子）	鞋子移動速度提高3%，內功防禦等級提高22
角礫染（下裝）	下裝外功破防等級提高43
角礫染（腰帶）	腰帶外功會心等級提高43
角礫繡（護手）	護腕外功會心等級提高43
角礫繡（上裝）	上衣外功破防等級提高43
淨白染（下裝）	下裝體質+8
淨白染（腰帶）	腰帶根骨+6
淨白繡（護手）	護腕根骨+6
淨白繡（頭部）	帽子體質+6
橘紅染（下裝）	下裝治療成效提高101
橘紅染（腰帶）	腰帶體質+10
橘紅繡（護手）	護腕體質+10
橘紅繡（頭部）	帽子治療成效提高101
藍葉染（腰帶）	腰帶力道+6
藍葉繡（護手）	護腕力道+6
綾羅繡球	對好友使用，增加好感度12點
流紋染（下裝）	下裝內功破防等級提高43
流紋染（腰帶）	腰帶內功會心等級提高43
流紋繡（護手）	護腕內功會心等級提高43
流紋繡（上裝）	上衣內功破防等級提高43
煤黑染（腰帶）	腰帶身法+6
煤黑繡（護手）	護腕身法+6
煤黑繡（頭部）	帽子根骨+6
明朗·染（療傷）	護腕治療成效提高231
明朗·紋（拆值）	腰帶拆招值提高537
明朗·紋（內回）	腰帶每秒內力恢復提升17
明朗·紋（內力）	腰帶內力上限提高469
明朗·紋（氣回）	腰帶每秒氣血恢復提升10
明朗·紋（氣血）	腰帶氣血上限提高432
明朗·繡（拆值）	上衣拆招值提高537
明朗·繡（內回）	上衣每秒內力恢復提升17
明朗·繡（內力）	上衣內力上限提高469
明朗·繡（氣回）	上衣每秒氣血恢復提升10
明朗·繡（氣血）	上衣氣血上限提高432
明朗·印（療傷）	下裝治療成效提高231
墨灰染（鞋子）	鞋子氣血上限提高81
墨灰繡（鞋子）	鞋子氣血上限提高81
岐黃染（下裝）	下裝氣血上限提高216
岐黃染（腰帶）	腰帶氣血上限提高216
岐黃繡（護手）	護腕氣血上限提高216
岐黃繡（上裝）	上衣氣血上限提高216
青龍染（下裝）	下裝內功攻擊提高117點
青龍染（腰帶）	腰帶內功攻擊提高117點
青龍繡（護手）	護腕內功攻擊提高117點
青龍繡（上裝）	上衣內功攻擊提高117點
紗制薄貼	對目標使用，8秒內回復氣血3000點
山水刺繡手絹	對好友使用，增加好感度18點
山水丹青染布畫	對好友使用，增加好感度18點
山水繡染（護手）	元氣永久提升3點（護腕）
山水繡染（頭部）	元氣永久提升3點（帽子）
水波綾香袋	對好友使用，增加好感度10點
絲制薄貼	對目標使用，3秒內回復氣血1000點
桃花燈	放飛升空，情意綿綿
田黃染（下裝）	下裝治療成效提高231
田黃染（腰帶）	腰帶治療成效提高231
田黃繡（護手）	護腕治療成效提高231
田黃繡（上裝）	上衣治療成效提高231
鐵黑染（腰帶）	腰帶身法+7
鐵黑繡（護手）	護腕身法+7
鐵血繡染（護手）	體質永久提升5點（護腕）
鐵血繡染（頭部）	體質永久提升5點（帽子）
五彩球·赤	拋給其他玩家，可以增加其攻擊能力
五彩球·藍	拋給其他玩家，可以增加其生存能力
小香包	對好友使用，增加好感度4點
杏黃染（下裝）	下裝體質+17
杏黃染（鞋子）	鞋子移動速度提高5%
杏黃染（腰帶）	腰帶元氣+7
杏黃繡（護手）	護腕元氣+7
杏黃繡（頭部）	帽子體質+22
杏黃繡（鞋子）	鞋子移動速度提高5%
繡花香包	對好友使用，增加好感度6點
雅·安戎·染（力道）	護腕力道+49
雅·安戎·染（療傷）	護腕治療成效提高347
雅·安戎·染（內會效）	護腕內功會心效果等級提高130
雅·安戎·染（內傷）	護腕內功攻擊提高176點
雅·安戎·染（外會效）	護腕外功會心效果等級提高130
雅·安戎·染（外傷）	護腕外功攻擊提高147
雅·安戎·染（元氣）	護腕元氣+49
雅·安戎·紋（拆值）	腰帶拆招值提高806
雅·安戎·紋（化勁）	腰帶化勁等級提高65
雅·安戎·紋（內防）	腰帶內功防禦等級提高65
雅·安戎·紋（內回）	腰帶每秒內力恢復提升25
雅·安戎·紋（內力）	腰帶內力上限提高704
雅·安戎·紋（氣回）	腰帶每秒氣血恢復提升15
雅·安戎·紋（氣血）	腰帶氣血上限提高649
雅·安戎·紋（閃避）	腰帶閃避等級提高65
雅·安戎·紋（體質）	腰帶體質+65
雅·安戎·紋（外防）	腰帶外功防禦等級額外提高65
雅·安戎·紋（禦勁）	腰帶禦勁等級提高65
雅·安戎·紋（招架）	腰帶招架等級提高65
雅·安戎·繡（拆值）	上衣拆招值提高806
雅·安戎·繡（化勁）	上衣化勁等級提高65
雅·安戎·繡（內防）	上衣內功防禦等級提高65
雅·安戎·繡（內回）	上衣每秒內力恢復提升25
雅·安戎·繡（內力）	上衣內力上限提高704
雅·安戎·繡（氣回）	上衣每秒氣血恢復提升15
雅·安戎·繡（氣血）	上衣氣血上限提高649
雅·安戎·繡（閃避）	上衣閃避等級提高65
雅·安戎·繡（體質）	上衣體質+65
雅·安戎·繡（外防）	上衣外功防禦等級額外提高65
雅·安戎·繡（禦勁）	上衣禦勁等級提高65
雅·安戎·繡（招架）	上衣招架等級提高65
雅·安戎·印（力道）	下裝力道+49
雅·安戎·印（療傷）	下裝治療成效提高347
雅·安戎·印（內會效）	下裝內功會心效果等級提高130
雅·安戎·印（內傷）	下裝內功攻擊提高176點
雅·安戎·印（外會效）	下裝外功會心效果等級提高130
雅·安戎·印（外傷）	下裝外功攻擊提高147
雅·安戎·印（元氣）	下裝元氣+49
岩藍染（下裝）	下裝元氣+16
岩藍繡（頭部）	帽子元氣+16
益元染（下裝）	下裝內力上限提高235
益元染（腰帶）	腰帶內力上限提高235
益元繡（護手）	護腕內力上限提高235
益元繡（上裝）	上衣內力上限提高235
瑩白染（下裝）	下裝力道+16
瑩白染（腰帶）	腰帶力道+7
瑩白繡（護手）	護腕力道+7
瑩白繡（頭部）	帽子力道+16
雨花染（下裝）	下裝內功攻擊提高117點
雨花染（腰帶）	腰帶內功攻擊提高117點
雨花繡（護手）	護腕內功攻擊提高117點
雨花繡（上裝）	上衣內功攻擊提高117點
雲錫染（下裝）	下裝外功命中等級提高43
雲錫染（腰帶）	腰帶外功命中等級提高86
雲錫繡（護手）	護腕外功命中等級提高86
雲錫繡（上裝）	上衣外功命中等級提高43
雲英染（下裝）	下裝內功命中等級提高86
雲英染（腰帶）	腰帶內功命中等級提高43
雲英繡（護手）	護腕內功命中等級提高43
雲英繡（上裝）	上衣內功命中等級提高86
湛藍繡染（護手）	力道永久提升3點（護腕）
朱雀染（下裝）	下裝治療成效提高231
朱雀染（腰帶）	腰帶治療成效提高231
朱雀繡（護手）	護腕治療成效提高231
朱雀繡（上裝）	上衣治療成效提高231
紫碧繡染（下裝）	身法永久提升5點（下裝）
安戎·鍛（仇恨）	帽子招式產生威脅提高14.6%
安戎·鍛（根骨）	帽子根骨+33
安戎·鍛（內會）	帽子內功會心等級提高86
安戎·鍛（內命）	帽子內功命中等級提高86
安戎·鍛（內破）	帽子內功破防等級提高86
安戎·鍛（身法）	帽子身法+33
安戎·鍛（外會）	帽子外功會心等級提高86
安戎·鍛（外命）	帽子外功命中等級提高86
安戎·鍛（外破）	帽子外功破防等級提高86
安戎·鍛（無雙）	帽子無雙等級提高86
安戎·磨石（療傷）	近身武器治療成效提高231
安戎·磨石（內傷）	近身武器內功攻擊提高117點
安戎·磨石（外傷）	近身武器外功攻擊提高98
安戎·磨石（武傷）	近身武器近戰武器傷害提高15
安戎·熔錠（療傷）	近身武器治療成效提高347，持續30分鐘
安戎·熔錠（內傷）	近身武器內功攻擊提高176點，持續30分鐘
安戎·熔錠（外傷）	近身武器外功攻擊提高147，持續30分鐘
安戎·熔錠（武傷）	近身武器近戰武器傷害提高22，持續30分鐘
安戎·鑄（仇恨）	鞋子招式產生威脅提高14.6%
