ID	Name	AttributeOne	AttributeTwo	AttributeThree
12051	彩·霸體·痛擊·銳刃(三)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12052	彩·霸體·痛擊·銳刃(肆)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12053	彩·霸體·痛擊·銳刃(伍)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12054	彩·霸體·痛擊·銳刃(陸)	atVitalityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12055	彩·霸體·大化·狂攻(壹)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12056	彩·霸體·大化·狂攻(貳)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12057	彩·霸體·大化·狂攻(三)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12058	彩·霸體·大化·狂攻(肆)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12059	彩·霸體·大化·狂攻(伍)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12060	彩·霸體·大化·狂攻(陸)	atVitalityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12061	彩·霸體·大化·斬鐵(壹)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12062	彩·霸體·大化·斬鐵(貳)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12063	彩·霸體·大化·斬鐵(三)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12064	彩·霸體·大化·斬鐵(肆)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12065	彩·霸體·大化·斬鐵(伍)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12066	彩·霸體·大化·斬鐵(陸)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12067	彩·霸體·大化·銳刃(壹)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12068	彩·霸體·大化·銳刃(貳)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12069	彩·霸體·大化·銳刃(三)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12070	彩·霸體·大化·銳刃(肆)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12071	彩·霸體·大化·銳刃(伍)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12072	彩·霸體·大化·銳刃(陸)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12073	彩·霸體·大化·痛擊(壹)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12074	彩·霸體·大化·痛擊(貳)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12075	彩·霸體·大化·痛擊(三)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12076	彩·霸體·大化·痛擊(肆)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12077	彩·霸體·大化·痛擊(伍)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12078	彩·霸體·大化·痛擊(陸)	atVitalityBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12079	彩·真剛·銳刃·狂攻(壹)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12080	彩·真剛·銳刃·狂攻(貳)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12081	彩·真剛·銳刃·狂攻(三)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12082	彩·真剛·銳刃·狂攻(肆)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12083	彩·真剛·銳刃·狂攻(伍)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12084	彩·真剛·銳刃·狂攻(陸)	atStrengthBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12085	彩·真剛·銳刃·斬鐵(壹)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12086	彩·真剛·銳刃·斬鐵(貳)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12087	彩·真剛·銳刃·斬鐵(三)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12088	彩·真剛·銳刃·斬鐵(肆)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12089	彩·真剛·銳刃·斬鐵(伍)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12090	彩·真剛·銳刃·斬鐵(陸)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12091	彩·真剛·銳刃·痛擊(壹)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12092	彩·真剛·銳刃·痛擊(貳)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12093	彩·真剛·銳刃·痛擊(三)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12094	彩·真剛·銳刃·痛擊(肆)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12095	彩·真剛·銳刃·痛擊(伍)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12096	彩·真剛·銳刃·痛擊(陸)	atStrengthBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12097	彩·真剛·斬鐵·狂攻(壹)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12098	彩·真剛·斬鐵·狂攻(貳)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12099	彩·真剛·斬鐵·狂攻(三)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12100	彩·真剛·斬鐵·狂攻(肆)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12101	彩·真剛·斬鐵·狂攻(伍)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12102	彩·真剛·斬鐵·狂攻(陸)	atStrengthBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12103	彩·真剛·斬鐵·銳刃(壹)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12104	彩·真剛·斬鐵·銳刃(貳)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12105	彩·真剛·斬鐵·銳刃(三)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12106	彩·真剛·斬鐵·銳刃(肆)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12107	彩·真剛·斬鐵·銳刃(伍)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12108	彩·真剛·斬鐵·銳刃(陸)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12109	彩·真剛·斬鐵·痛擊(壹)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12110	彩·真剛·斬鐵·痛擊(貳)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12111	彩·真剛·斬鐵·痛擊(三)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12112	彩·真剛·斬鐵·痛擊(肆)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12113	彩·真剛·斬鐵·痛擊(伍)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12114	彩·真剛·斬鐵·痛擊(陸)	atStrengthBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12115	彩·真剛·痛擊·狂攻(壹)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12116	彩·真剛·痛擊·狂攻(貳)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12117	彩·真剛·痛擊·狂攻(三)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12118	彩·真剛·痛擊·狂攻(肆)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12119	彩·真剛·痛擊·狂攻(伍)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12120	彩·真剛·痛擊·狂攻(陸)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12121	彩·真剛·痛擊·斬鐵(壹)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12122	彩·真剛·痛擊·斬鐵(貳)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12123	彩·真剛·痛擊·斬鐵(三)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12124	彩·真剛·痛擊·斬鐵(肆)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12125	彩·真剛·痛擊·斬鐵(伍)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12126	彩·真剛·痛擊·斬鐵(陸)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12127	彩·真剛·痛擊·銳刃(壹)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12128	彩·真剛·痛擊·銳刃(貳)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12129	彩·真剛·痛擊·銳刃(三)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12130	彩·真剛·痛擊·銳刃(肆)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12131	彩·真剛·痛擊·銳刃(伍)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12132	彩·真剛·痛擊·銳刃(陸)	atStrengthBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12133	彩·真剛·大化·狂攻(壹)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12134	彩·真剛·大化·狂攻(貳)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12135	彩·真剛·大化·狂攻(三)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12136	彩·真剛·大化·狂攻(肆)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12137	彩·真剛·大化·狂攻(伍)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12138	彩·真剛·大化·狂攻(陸)	atStrengthBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12139	彩·真剛·大化·斬鐵(壹)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12140	彩·真剛·大化·斬鐵(貳)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12141	彩·真剛·大化·斬鐵(三)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12142	彩·真剛·大化·斬鐵(肆)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12143	彩·真剛·大化·斬鐵(伍)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12144	彩·真剛·大化·斬鐵(陸)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12145	彩·真剛·大化·銳刃(壹)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12146	彩·真剛·大化·銳刃(貳)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12147	彩·真剛·大化·銳刃(三)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12148	彩·真剛·大化·銳刃(肆)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12149	彩·真剛·大化·銳刃(伍)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12150	彩·真剛·大化·銳刃(陸)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsAttackPowerBase
12151	彩·真剛·大化·痛擊(壹)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12152	彩·真剛·大化·痛擊(貳)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12153	彩·真剛·大化·痛擊(三)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12154	彩·真剛·大化·痛擊(肆)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12155	彩·真剛·大化·痛擊(伍)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12156	彩·真剛·大化·痛擊(陸)	atStrengthBase	atDecriticalDamagePowerBase	atPhysicsCriticalDamagePowerBase
12157	彩·瞬影·銳刃·狂攻(壹)	atAgilityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12158	彩·瞬影·銳刃·狂攻(貳)	atAgilityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12159	彩·瞬影·銳刃·狂攻(三)	atAgilityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12160	彩·瞬影·銳刃·狂攻(肆)	atAgilityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12161	彩·瞬影·銳刃·狂攻(伍)	atAgilityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12162	彩·瞬影·銳刃·狂攻(陸)	atAgilityBase	atPhysicsAttackPowerBase	atMeleeWeaponDamageBase
12163	彩·瞬影·銳刃·斬鐵(壹)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12164	彩·瞬影·銳刃·斬鐵(貳)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12165	彩·瞬影·銳刃·斬鐵(三)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12166	彩·瞬影·銳刃·斬鐵(肆)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12167	彩·瞬影·銳刃·斬鐵(伍)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12168	彩·瞬影·銳刃·斬鐵(陸)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsOvercomeBase
12169	彩·瞬影·銳刃·痛擊(壹)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12170	彩·瞬影·銳刃·痛擊(貳)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12171	彩·瞬影·銳刃·痛擊(三)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12172	彩·瞬影·銳刃·痛擊(肆)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12173	彩·瞬影·銳刃·痛擊(伍)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12174	彩·瞬影·銳刃·痛擊(陸)	atAgilityBase	atPhysicsAttackPowerBase	atPhysicsCriticalDamagePowerBase
12175	彩·瞬影·斬鐵·狂攻(壹)	atAgilityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12176	彩·瞬影·斬鐵·狂攻(貳)	atAgilityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12177	彩·瞬影·斬鐵·狂攻(三)	atAgilityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12178	彩·瞬影·斬鐵·狂攻(肆)	atAgilityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12179	彩·瞬影·斬鐵·狂攻(伍)	atAgilityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12180	彩·瞬影·斬鐵·狂攻(陸)	atAgilityBase	atPhysicsOvercomeBase	atMeleeWeaponDamageBase
12181	彩·瞬影·斬鐵·銳刃(壹)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12182	彩·瞬影·斬鐵·銳刃(貳)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12183	彩·瞬影·斬鐵·銳刃(三)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12184	彩·瞬影·斬鐵·銳刃(肆)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12185	彩·瞬影·斬鐵·銳刃(伍)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12186	彩·瞬影·斬鐵·銳刃(陸)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsAttackPowerBase
12187	彩·瞬影·斬鐵·痛擊(壹)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12188	彩·瞬影·斬鐵·痛擊(貳)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12189	彩·瞬影·斬鐵·痛擊(三)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12190	彩·瞬影·斬鐵·痛擊(肆)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12191	彩·瞬影·斬鐵·痛擊(伍)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12192	彩·瞬影·斬鐵·痛擊(陸)	atAgilityBase	atPhysicsOvercomeBase	atPhysicsCriticalDamagePowerBase
12193	彩·瞬影·痛擊·狂攻(壹)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12194	彩·瞬影·痛擊·狂攻(貳)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12195	彩·瞬影·痛擊·狂攻(三)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12196	彩·瞬影·痛擊·狂攻(肆)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12197	彩·瞬影·痛擊·狂攻(伍)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12198	彩·瞬影·痛擊·狂攻(陸)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atMeleeWeaponDamageBase
12199	彩·瞬影·痛擊·斬鐵(壹)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12200	彩·瞬影·痛擊·斬鐵(貳)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12201	彩·瞬影·痛擊·斬鐵(三)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12202	彩·瞬影·痛擊·斬鐵(肆)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12203	彩·瞬影·痛擊·斬鐵(伍)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12204	彩·瞬影·痛擊·斬鐵(陸)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsOvercomeBase
12205	彩·瞬影·痛擊·銳刃(壹)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12206	彩·瞬影·痛擊·銳刃(貳)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12207	彩·瞬影·痛擊·銳刃(三)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12208	彩·瞬影·痛擊·銳刃(肆)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12209	彩·瞬影·痛擊·銳刃(伍)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12210	彩·瞬影·痛擊·銳刃(陸)	atAgilityBase	atPhysicsCriticalDamagePowerBase	atPhysicsAttackPowerBase
12211	彩·瞬影·大化·狂攻(壹)	atAgilityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12212	彩·瞬影·大化·狂攻(貳)	atAgilityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12213	彩·瞬影·大化·狂攻(三)	atAgilityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12214	彩·瞬影·大化·狂攻(肆)	atAgilityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12215	彩·瞬影·大化·狂攻(伍)	atAgilityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12216	彩·瞬影·大化·狂攻(陸)	atAgilityBase	atDecriticalDamagePowerBase	atMeleeWeaponDamageBase
12217	彩·瞬影·大化·斬鐵(壹)	atAgilityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12218	彩·瞬影·大化·斬鐵(貳)	atAgilityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
12219	彩·瞬影·大化·斬鐵(三)	atAgilityBase	atDecriticalDamagePowerBase	atPhysicsOvercomeBase
